"rank","company","city","state","tier","segment","website","apollo_biz_type","verified_biz_type","verification_status","evidence","recommendation","notes"
"11","Four Seasons Home Products","Lee's Summit","Missouri","1","Construction","http://www.fourseasonskc.com","Construction","Home Improvement Contractor","OPEN","Active site; family-owned since 1971; address 821 SW Oldham Pkwy Lee's Summit MO 64081; phone (816) 320-5759; BBB A+ rated.","REVEAL","Family-owned home improvement/remodeling; Lee's Summit MO; 50+ year operation."
"12","Crossroads Construction","Kansas City","Missouri","1","Construction","http://www.crossroadsconstruction.build","Construction","General Contractor","OPEN","Active website (April 2025 metadata); LinkedIn active; carpentry/panelized buildings GC in KC; Centric Projects affiliate.","REVEAL","Commercial GC/carpentry contractor; Kansas City MO."
"13","PT. GAP LOGISTICS","Kearney","Missouri","1","Transport/Logistics","http://www.gaplogistics.com","Transport/Logistics","Logistics/Freight","OPEN","Gap Logistics at 15016 Nation Rd Kearney MO; active since 2006; women-owned; full logistics services including sea/air/land; D&B profile active.","REVEAL","Women-owned logistics company; Kearney MO; active since 2006."
"14","Total Interiors Inc.","Kansas City","Kansas","1","Construction","http://www.totalinteriors.net","Construction","Interior Design/Contractor","OPEN","Active Divi WordPress site; Kansas City's choice for interior design; active service sections.","REVEAL","Interior design/contracting firm; Kansas City KS."
"15","Roundabout Transportation LLC","Lenexa","Kansas","1","Transport/Logistics","http://www.roundaboutks.com","Transport/Logistics","Ground Transportation","OPEN","Active site; USDOT 2098753 active authority; founded 2010; husband-and-wife owned; luxury SUVs/vans; KCI airport focus; phone 913-488-4224.","REVEAL","Locally-owned airport/event transportation; Lenexa KS; 12+ years operating."
"16","eGourmet Solutions Inc.","Kansas City","Kansas","1","Transport/Logistics","http://www.frozenfulfillment.com","Transport/Logistics","Frozen/Refrigerated Fulfillment","OPEN","Active site; address 1601 Fairfax Trafficway KC KS 66115; phone 816.396.8741; 15M+ orders shipped; operating since 2003.","REVEAL","Frozen/refrigerated fulfillment center; KCK; 15M+ orders since 2003."
"17","WLX Western Logistics Express","Kansas City","Missouri","1","Transport/Logistics","http://www.wlxtrans.com","Transport/Logistics","Trucking/Logistics","OPEN","Active site; address 2301 McGee St Suite 850 KC MO 64108; phone (816) 746-2800; 150+ company-owned assets; flatbed/expedited/heavy haul.","REVEAL","Full-service trucking and logistics; Kansas City MO; 150+ company assets."
"18","Mechanical Contractors Association of Kansas City","Overland Park","Kansas","1","Construction","http://www.mcakc.org","Construction","Trade Association","CLOSED","Active site but is a trade association (member org), not a contractor — address 10955 Lowell Ave Suite 1050 Overland Park KS; phone 913.948.9200.","SKIP","Trade association, not an insurable contractor prospect."
"19","Max Electric Inc.","Grandview","Missouri","1","Construction","http://www.maxelectric-kc.com","Construction","Electrical Contractor","OPEN","License verified active March 2026 per BuildZoom; address 705 Blue Ridge Ext Grandview MO; 20+ year KC operation; DWBE certified; commercial/industrial.","REVEAL","Commercial electrical contractor; Grandview MO; DWBE certified; 20+ years."
"20","Architectural Building Systems (KCK)","Kansas City","Kansas","1","Construction","http://www.archbs.com","Construction","Building Materials Supplier","OPEN","Active site; address 901 S 7th St KC KS 66105; phone 913-281-3363; operating since 1981; only EIFS/stucco specialist in KC metro.","REVEAL","EIFS and stucco materials supplier; KC KS; since 1981."
"21","Anderson Electrical LLC","Kansas City","Missouri","1","Construction","http://www.andersonelectricalkc.com","Construction","Electrical Contractor","OPEN","Active site; address 1405 Kansas Ave KC MO 64127; phone (816) 437-9000; family-run since 2002; commercial and residential.","REVEAL","Family-owned electrical contractor; Kansas City MO; since 2002."
"22","Sethmar Transportation LLC","Overland Park","Kansas","1","Transport/Logistics","http://www.sethmar.com","Transport/Logistics","Freight/LTL","OPEN","Active site; address 6330 Sprint Pkwy #100 Overland Park KS 66211; phone 913.884.1244; 3 cross-country consolidation facilities; LTL/bulk/cold chain.","REVEAL","LTL and bulk freight carrier; Overland Park KS; multi-facility operation."
"23","Total Home Remodeling","Lenexa","Kansas","1","Construction","http://www.totalhomekc.com","Construction","Remodeling Contractor","OPEN","Active site; last modified August 4 2025; nationally-recognized; 20+ years; serves Kansas and Missouri sides of KC metro.","REVEAL","Full-service home remodeler; Lenexa KS; 20+ year track record."
"24","Titan Built LLC","Lenexa","Kansas","1","Construction","http://www.titanbuilt.com","Construction","General Contractor","OPEN","Active site; commercial GC; services include preconstruction/CM/design-build/tenant improvements; healthcare/multifamily/municipal; 50 years experience.","REVEAL","Commercial GC; Lenexa KS; healthcare/multifamily/municipal specialist."
"25","Fusion Electric","Overland Park","Kansas","1","Construction","http://www.fusionkc.com","Construction","Electrical Contractor","OPEN","Active site; address 11530 W 90th St Overland Park KS 66214; phone (913) 563-7975; email support@fusionkc.com; residential and commercial.","REVEAL","Licensed electrical contractor; Overland Park KS; commercial and residential."
