company,city,state,segment,website,overall_score,priority,apollo_emp,est_premium,in_kc_metro,business_status,location_match,identity_match,recommendation,skip_reason,verification_notes
Rock Hill Mechanical Corporation,St. Louis,Missouri,Construction,http://www.rhmcorp.com,4.3,HIGH,27,$30K-$80K+,False,OPEN,MO,MATCH,REVEAL,,St. Louis MO (Kirkwood) mechanical contractor since 1956; rhmcorp.com root redirects to default page but /contact/ resolves; verified via Yelp/D&B/BlueBook. President Stephen Schnitzer.
Roanoke Construction,St. Louis,Missouri,Construction,http://www.roanoke-construction.com,4.3,HIGH,21,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,St. Louis MO construction; site 200 OK.
Risen Mechanical LLC,Dexter,Missouri,Construction,http://www.risenmechanical.com,4.3,HIGH,24,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,Dexter MO mechanical contractor; site 200 OK.
Rich Kramer Construction,Springfield,Missouri,Construction,http://www.richkramer.com,4.3,HIGH,23,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,Springfield MO construction; site 200 OK.
JOHN J. SMITH MASONRY COMPANY,St. Louis,Missouri,Construction,http://www.smithmasonry.com,4.3,HIGH,21,$30K-$80K+,False,OPEN,MO,MATCH,REVEAL,,St. Louis commercial masonry contractor; site 200 OK.
"JAY HENGES ENTERPRISES, INC",Earth City,Missouri,Construction,http://www.jayhengesenterprises.com,4.3,HIGH,29,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,Earth City MO; site 200 OK.
Rhodey Construction Inc.,St. Louis,Missouri,Construction,http://www.rhodeyconstruction.com,4.3,HIGH,39,$30K-$80K+,False,OPEN,MO,MATCH,REVEAL,,St. Louis MO commercial construction; site 200 OK.
JED Transportation,Hazelwood,Missouri,Transport/Logistics,http://www.jedlimousine.com,4.3,HIGH,30,$40K-$80K+,False,OPEN,MO,MATCH,REVEAL,,St. Louis limo/charter bus operator since 1967; jedlimousine.com 200 OK. Passenger transport — valid for commercial auto.
Hazzard Moving & Storage,St. Louis,Missouri,Transport/Logistics,http://www.hazzardmoving.com,4.3,HIGH,16,$40K-$80K+,False,OPEN,MO,MATCH,REVEAL,,St. Louis moving company; site 200 OK.
RJP Electric,St. Louis,Missouri,Construction,http://www.rjpelectric.com,4.3,HIGH,44,$30K-$80K+,False,OPEN,MO,MATCH,REVEAL,,St. Louis MO electrical contractor; site 200 OK.
"R.G. Ross Construction Co., Inc.",St. Louis,Missouri,Construction,http://www.rgross.com,4.3,HIGH,17,$30K-$80K+,False,OPEN,MO,MATCH,REVEAL,,St. Louis MO general contractor; site 200 OK.
R.F. Meeh Company,Fenton,Missouri,Construction,http://www.rfmeeh.com,4.3,HIGH,24,$30K-$80K+,False,OPEN,MO,MATCH,REVEAL,,Fenton MO construction; rfmeeh.com 200 OK.
R. E. Smith Construction,Joplin,Missouri,Construction,http://www.resmithconst.com,4.3,HIGH,17,$30K-$80K+,False,OPEN,MO,MATCH,REVEAL,,Joplin MO commercial GC since 1952 (3rd gen Smith family); 1036 W 2nd St. Direct curl returned 403 (bot detection) but verified active via D&B / Joplin Chamber / Springfield Contractors Association.
KBUILD,St. Peters,Missouri,Construction,http://www.kbuildit.com,4.3,HIGH,31,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,"St. Peters MO design-build contractor (custom builds, remodels, commercial); site 200 OK."
"K&S Associates, LLC. - St.Louis",Saint Louis,Missouri,Construction,http://www.ksgcstl.com,4.3,HIGH,17,$30K-$80K+,False,OPEN,MO,MATCH,REVEAL,,Maryland Heights MO commercial general contractor since 1972; ksgcstl.com 200 OK.
