rank,company,city,state,tier,segment,website,apollo_biz_type,verified_biz_type,verification_status,evidence,recommendation,notes
230,Margin Freight,Overland Park,Kansas,Tier 1,Transport/Logistics,http://www.marginfreight.com,Transport/Logistics,Freight brokerage platform,OPEN,"Active website (updated Nov 2024); 7208 W 80th St Ste 204, Overland Park KS 66204. Phone: 913-228-3591.",REVEAL,"Freight brokerage platform for independent brokers. Note: shares address with Quote Factory — may be related entities."
231,Maze Freight Solutions Inc.,Overland Park,Kansas,Tier 1,Transport/Logistics,http://www.mazefreightsolutions.com,Transport/Logistics,Oversized/heavy freight logistics,OPEN,"Active website; 7900 College Blvd Suite 100, Overland Park KS; owner Jy'Juan Maze; serves construction, oil & gas, aerospace. Phone: 913-276-1563.",REVEAL,"Specialized oversized/heavy freight. Owner: Jy'Juan Maze. Construction and industrial clients — good cross-sell angle."
232,Greenovate Construction,Kansas City,Missouri,Tier 1,Construction,http://www.greenovateconstruction.com,Construction,Sustainable/affordable housing developer,OPEN,"Active website; 5008 Prospect Ave Suite 108, Kansas City MO 64130; disaster-resistant homes; 9-week build timelines. Phone: (816) 805-1890.",REVEAL,"Innovative construction — tornado/flood/fire/termite resistant. 'Urban KC' development. Contact: Catalina Campos."
233,POD Logistics Incorporated,Kansas City,Missouri,Tier 1,Transport/Logistics,http://www.podlogis.com,Transport/Logistics,Trucking & warehousing — drayage/intermodal,OPEN,"Active on LinkedIn, LoadMatch, FMCSA SAFER, D&B; 3101 Gardner Ave, Kansas City MO 64120; founded 2017; 100K+ sq ft climate-controlled warehouse. Phone: (806) 412-0886.",REVEAL,"Drayage, flatbed, intermodal, OTR, warehousing. Multi-city operations (KC, DFW, Denver, Minneapolis). Growing company."
234,Port TMS,Overland Park,Kansas,Tier 1,Transport/Logistics,http://www.porttms.com,Transport/Logistics,TMS software company,OPEN,"Active website and LinkedIn; 7007 College Blvd Ste 150, Overland Park KS 66211; received PPP loan; backed by BERKS Group investment.",REVEAL,"SaaS TMS for 3PLs/brokers. Apollo tags as Transport/Logistics but actually software. Still valid prospect — BOP, cyber liability, E&O."
235,Pulse Transportation Svc,Kansas City,Missouri,Tier 1,Transport/Logistics,http://www.pulselogistics.com,Transport/Logistics,Trucking & 3PL warehousing,OPEN,"Active website; KC MO area; ~30 years in business; LTL, truckload, 3PL, tanker, Foreign Trade Zone services. Phone: (816) 231-1612.",REVEAL,"Long-established trucking/warehousing. Foreign Trade Zone services = unique angle. 30 years."
236,Quote Factory,Overland Park,Kansas,Tier 1,Transport/Logistics,http://www.quotefactory.com,Transport/Logistics,TMS software for freight brokers,OPEN,"Active website; 7208 W 80th St Ste 204, Overland Park KS 66204; integrates with 100+ LTL carriers. Phone: (913) 513-2915.",REVEAL,"SaaS TMS platform. Same address as Margin Freight — likely related entities. Prospect for BOP, cyber, E&O."
237,Lumber One,De Soto,Kansas,Tier 1,Construction,http://www.lumberonekc.com,Construction,Lumber yard & construction labor services,OPEN,"Active website; 9800 Sunflower Rd, De Soto KS 66018; full-service lumber yard with Lumber+Labor packages; framing crews. Phone: (913) 583-9889.",REVEAL,"Lumber supplier + labor/framing crews. Dual exposure: retail property + construction operations (WC, GL, commercial auto)."
238,EXCEL CONSTRUCTORS,Overland Park,Kansas,Tier 1,Construction,http://www.excelconstructors.com,Construction,Commercial GC — education/healthcare/hospitality,OPEN,"Active website with recent projects and job postings; 8041 W 47th St, Overland Park KS 66203-1301. CM, design/build, GC for education, healthcare, hospitality, industrial, senior living, religious.",REVEAL,"Broad commercial GC — education, healthcare, hospitality, industrial, senior living, religious. Active hiring = growing."
239,Mike Hagen Electric Inc.,Kansas City,Missouri,Tier 1,Construction,http://www.mikehagenelectric.com,Construction,Electrical contractor — commercial & residential,OPEN,"Active on Yelp (updated Dec 2025), BBB, Facebook, Nextdoor, Blue Book; 8820 NE 108th St, Kansas City MO 64157; since 1978; 40+ years; 4.5/5 rating. Phone: (816) 734-5100.",REVEAL,"Full-service electrical — commercial/residential, street lighting, underground power. 24-hour service dept. 40+ years."
240,Tompkins Industries Inc.,Olathe,Kansas,Tier 1,Manufacturing,http://www.tompkinsind.com,Manufacturing,Hydraulic components manufacturer/distributor,OPEN,"Active website; 1651 E Kansas City Rd, Olathe KS 66061; since 1967; multiple service centers across US and Canada. Phone: 913-764-8088.",REVEAL,"Major hydraulic/fluid power manufacturer and distributor. Multi-location operation. High property, products liability, WC exposure."
241,"Temp-Con, LLC",Shawnee,Kansas,Tier 1,Manufacturing,http://www.tempconkc.com,Manufacturing,Commercial HVAC & refrigeration contractor,OPEN,"Active on KC Chamber, Shawnee business directory, LinkedIn, Facebook; Shawnee KS; largest non-union HVACR provider in greater KC; serves KS/MO/NE. Joined forces with TP Mechanical via Caymus Equity.",REVEAL,"Apollo tags as Manufacturing but actually commercial HVAC/refrigeration contractor. Largest non-union HVACR in KC. May have PE backing (Caymus Equity). Still active as Temp-Con brand."
242,Quality Industrial Products,Grandview,Missouri,Tier 1,Manufacturing,http://www.qualityindustrial.com,Manufacturing,Industrial piping systems distributor,OPEN,"Active website (updated Sep 2025); 14001 Norby Rd, Grandview MO 64030; since 1971; carbon steel, stainless, specialty alloys. Phone: 816-765-0445.",REVEAL,"Piping systems distributor since 1971. 50+ years. Property + products liability + commercial auto exposure."
243,Core Communications,North Kansas City,Missouri,Tier 1,Construction,http://www.corecommkc.com,Construction,Network cabling infrastructure,OPEN,"Active website; KC area; family-owned; serves healthcare, logistics, industrial, manufacturing, office, retail, campus.",REVEAL,"Low-voltage/network cabling contractor. Family-owned. Healthcare and industrial clients = steady work."
244,Complete Property Solutions Corp.,Shawnee,Kansas,Tier 1,Construction,http://www.cps-kc.com,Construction,Commercial GC — design-build/tenant finish,OPEN,"Active on LinkedIn, Houzz, Angi, BuildZoom; 13030 Shawnee Mission Pkwy, Shawnee KS; founded 2010; President: Philip Crafton; ~13 employees; BuildZoom score 102 (top 11% KS); 5-star rating. Phone: contact via website.",REVEAL,"Design-build, remodels, tenant finishes for medical, office, religious, hospitality. President: Philip Crafton."
