priority,overall_score,company,city,state,biz_type,apollo_emp,est_actual_staff,revenue,num_locations,est_premium,likely_asian,in_kc_metro,is_food,prem_score,fit_score,acc_score,under_score,website,phone,notes
HIGH,4.6,Sheridan's Unforked,Overland Park,Kansas,catering/food truck,18,36,10000000,1,$20K+,No,Yes,Yes,5,4.0,5,4.0,http://www.unforked.com,'+1 913-661-9887,"KC metro; $10,000,000 rev"
HIGH,4.6,Naka-Kon Anime Convention,Overland Park,Kansas,food/bev general,14,28,5767000,1,$20K+,Yes,Yes,Yes,5,5,4,4.0,http://www.naka-kon.com,,"Asian/ethnic cuisine; KC metro; $5,767,000 rev"
HIGH,4.6,Fuji Japanese Steak House,Liberty,Missouri,full-service restaurant,23,104,,1,$20K+,Yes,Yes,Yes,5,5,4,4.0,http://www.fujilibertytogo.com,'+1 816-439-5150,Asian/ethnic cuisine; KC metro
HIGH,4.6,"Select Brands, Inc.",Lenexa,Kansas,bakery/cafe,18,45,17469000,1,$20K+,No,Yes,Yes,5,4.0,5,4.0,http://www.selectbrands.com,'+1 913-663-4500,"KC metro; $17,469,000 rev"
HIGH,4.6,Parisi Coffee,Kansas City,Missouri,bakery/cafe,28,70,4953000,1,$20K+,No,Yes,Yes,5,4.0,5,4.0,http://www.parisicoffee.com,'+1 816-423-5464,"KC metro; $4,953,000 rev"
HIGH,4.6,Garozzo's Ristorante,Kansas City,Missouri,catering/food truck,27,54,1462000,1,$20K+,No,Yes,Yes,5,4.0,5,4.0,http://www.garozzos.com,'+1 913-491-8300,"KC metro; $1,462,000 rev"
HIGH,4.6,Chinese Grocery Store,Manhattan,Kansas,full-service restaurant,25,112,,1,$20K+,Yes,No,Yes,5,5,4,4.0,http://www.crunchbearmarket.com,'+1 785-802-5040,Asian/ethnic cuisine; MO/KS territory
HIGH,4.5,Engrain LLC (engrain.us),Manhattan,Kansas,bakery/cafe,17,42,226000,1,$10K-$20K,Yes,No,Yes,4.0,5,5,4.5,http://www.engrain.us,'+1 785-539-1100,"Asian/ethnic cuisine; MO/KS territory; $226,000 rev"
HIGH,4.5,Eden Alley Cafe,Kansas City,Missouri,catering/food truck,11,22,13810000,1,$20K+,No,Yes,Yes,5,3.5,5,4.0,http://www.edenalley.com,'+1 816-561-5415,"KC metro; $13,810,000 rev"
HIGH,4.5,"Irving Weber Associates, Inc.",Overland Park,Kansas,full-service restaurant,11,50,13127000,1,$20K+,No,Yes,Yes,5,4.0,5,3.5,http://www.iwains.com,'+1 855-764-7406,"KC metro; $13,127,000 rev"
HIGH,4.5,Excel Linen Supply,Kansas City,Kansas,full-service restaurant,11,50,10000000,1,$20K+,No,Yes,Yes,5,4.0,5,3.5,http://www.excellinen.com,'+1 816-842-6565,"KC metro; $10,000,000 rev"
HIGH,4.5,Off the Vine Catering,Leavenworth,Kansas,catering/food truck,22,44,11936000,1,$20K+,No,No,Yes,5,3.5,5,4.0,http://www.offthevinecatering.com,'+1 781-762-9770,"MO/KS territory; $11,936,000 rev"
HIGH,4.5,Rye KC,Leawood,Kansas,catering/food truck,24,48,19089000,1,$20K+,No,Yes,Yes,5,4.0,5,3.5,http://www.ryekc.com,'+1 913-642-5800,"KC metro; $19,089,000 rev"
HIGH,4.5,Prime Sushi,Kansas City,Missouri,full-service restaurant,15,68,,1,$20K+,Yes,Yes,No,5,4.5,4,4.0,http://www.primesushikc.com,'+1 816-931-4829,Asian/ethnic cuisine; KC metro
HIGH,4.5,VIVIANOS FESTA ITALIANO,Fenton,Missouri,catering/food truck,22,44,22350000,1,$20K+,No,No,Yes,5,3.5,5,4.0,http://www.vivianosmarket.com,'+1 636-305-1474,"MO/KS territory; $22,350,000 rev"
HIGH,4.5,Bartolino's Restaurant,St. Louis,Missouri,catering/food truck,27,54,,2,$20K+,No,No,Yes,5,3.5,5,4.0,http://www.bartolinosrestaurants.com,'+1 314-487-4545,MO/KS territory; 2 locations
HIGH,4.5,Dolce Bakery,Prairie Village,Kansas,catering/food truck,37,74,749000,1,$20K+,No,Yes,Yes,5,4.0,5,3.5,http://www.dolcebakes.com,'+1 913-236-4411,"KC metro; $749,000 rev"
HIGH,4.5,"Tippin's Gourmet Pies, LLC",Kansas City,Kansas,bakery/cafe,25,62,,1,$20K+,No,Yes,Yes,5,4.0,5,3.5,http://www.tippinspies.com,'+1 800-435-3382,KC metro
HIGH,4.5,Red Snapper,Kansas City,Missouri,full-service restaurant,17,76,11609000,1,$20K+,Yes,Yes,No,5,4.5,4,4.0,http://www.kcredsnapper.com,'+1 816-333-8899,"Asian/ethnic cuisine; KC metro; $11,609,000 rev"
HIGH,4.5,Vista Drive In Reasturant,Manhattan,Kansas,catering/food truck,28,56,11751000,1,$20K+,No,No,Yes,5,3.5,5,4.0,http://www.vistadrivein.com,'+1 785-537-0100,"MO/KS territory; $11,751,000 rev"
HIGH,4.5,Reverie Coffee Roasters,Wichita,Kansas,bakery/cafe,13,32,5332000,1,$20K+,No,No,Yes,5,3.5,5,4.0,http://www.reverieroasters.com,'+1 316-201-1144,"MO/KS territory; $5,332,000 rev"
HIGH,4.5,Pappy's Smokehouse,St. Louis,Missouri,catering/food truck,28,56,3779000,1,$20K+,No,No,Yes,5,3.5,5,4.0,http://www.pappyssmokehouse.com,'+1 314-535-4340,"MO/KS territory; $3,779,000 rev"
HIGH,4.5,Room 39,Kansas City,Missouri,catering/food truck,15,30,12765000,2,$20K+,No,Yes,Yes,5,4.0,5,3.5,http://www.rm39.com,'+1 816-753-3939,"KC metro; $12,765,000 rev; 2 locations"
HIGH,4.5,Carolyn's Country Cousins,Liberty,Missouri,bakery/cafe,21,52,3947000,2,$20K+,No,Yes,Yes,5,3.5,5,4.0,http://www.carolynspumpkinpatch.com,'+1 816-781-9196,"KC metro; $3,947,000 rev; 2 locations"
HIGH,4.5,Fiorella's,Overland Park,Kansas,catering/food truck,35,70,,1,$20K+,No,Yes,Yes,5,4.0,5,3.5,http://www.fiorellaskc.com,'+1 913-356-5700,KC metro
HIGH,4.5,Rancho Grande Cantina Restaurant,Parkville,Missouri,full-service restaurant,29,130,,1,$20K+,No,Yes,Yes,5,4.0,5,3.5,http://www.rgcantina.com,'+1 816-505-9097,KC metro
HIGH,4.5,Blast It Clean,Kansas City,Missouri,bakery/cafe,34,85,,1,$20K+,No,Yes,Yes,5,4.0,5,3.5,http://www.blastitclean.com,'+1 877-379-4233,KC metro
HIGH,4.5,Elite Booth LLC,Raytown,Missouri,full-service restaurant,12,54,33331000,1,$20K+,No,Yes,Yes,5,4.0,5,3.5,http://www.elitebooth.com,'+1 816-743-8158,"KC metro; $33,331,000 rev"
HIGH,4.5,Old Shawnee Pizza,Shawnee,Kansas,full-service restaurant,26,117,8493000,4,$20K+,No,Yes,Yes,5,4.0,5,3.5,http://www.shawneepizza.com,'+1 913-677-1844,"KC metro; $8,493,000 rev; 4 locations"
HIGH,4.5,Equip-Bid Auctions,Overland Park,Kansas,full-service restaurant,22,99,7729000,1,$20K+,No,Yes,Yes,5,4.0,5,3.5,http://www.equip-bid.com,'+1 913-686-6345,"KC metro; $7,729,000 rev"
HIGH,4.5,Plate,Kansas City,Missouri,catering/food truck,32,64,,1,$20K+,No,Yes,Yes,5,4.0,5,3.5,http://www.platekc.com,'+1 913-730-7545,KC metro
HIGH,4.5,Kome Sushi,Parkville,Missouri,full-service restaurant,23,104,,1,$20K+,Yes,Yes,No,5,4.5,4,4.0,http://www.komesushimo.com,'+1 816-587-8882,Asian/ethnic cuisine; KC metro
HIGH,4.4,"Exit 11 Coffee, LLC",Washington,Missouri,bakery/cafe,25,62,,1,$20K+,No,No,Yes,5,3.0,5,4.0,http://www.exit11coffee.com,'+1 636-429-0111,MO/KS territory
HIGH,4.4,Barsto Construction Inc,Kansas City,Missouri,full-service restaurant,19,86,9650000,1,$20K+,No,Yes,Yes,5,4.0,5,3.0,http://www.barstoconstruction.com,'+1 816-421-5677,"KC metro; $9,650,000 rev"
HIGH,4.4,RestaurantLink,Overland Park,Kansas,full-service restaurant,12,54,12000000,1,$20K+,No,Yes,Yes,5,4.0,5,3.0,http://www.restaurantlink.com,'+1 785-841-3656,"KC metro; $12,000,000 rev"
HIGH,4.4,Hiway Inn,Girard,Kansas,full-service restaurant,13,58,,3,$20K+,Yes,No,Yes,5,5,3,4.0,,'+1 808-954-4955,Asian/ethnic cuisine; MO/KS territory; 3 locations
HIGH,4.4,Stone Canyon Gladstone,Gladstone,Missouri,bar/brewery,22,77,13323000,2,$20K+,No,Yes,Yes,5,3.5,5,3.5,http://www.stonecanyonpizza.com,'+1 816-746-8686,"KC metro; $13,323,000 rev; 2 locations"
HIGH,4.4,Post Coffee Company,Lee's Summit,Missouri,bar/brewery,20,70,,1,$20K+,No,Yes,Yes,5,3.5,5,3.5,http://www.postcoffeecompany.com,'+1 816-886-8659,KC metro
HIGH,4.4,V's Italiano Ristorante,Independence,Missouri,bakery/cafe,17,42,13084000,1,$20K+,No,Yes,Yes,5,3.5,5,3.5,http://www.vsrestaurant.com,'+1 816-353-1241,"KC metro; $13,084,000 rev"
HIGH,4.4,The Farmhouse KC,Kansas City,Missouri,full-service restaurant,24,108,,1,$20K+,No,Yes,Yes,5,4.0,5,3.0,http://www.eatatthefarmhouse.com,'+1 816-569-6032,KC metro
HIGH,4.4,Sunnycrest Farm,Blue Mound,Kansas,bakery/cafe,11,28,16283000,1,$20K+,No,No,Yes,5,3.0,5,4.0,http://www.sunnycrestfarmnh.com,'+1 603-432-9652,"MO/KS territory; $16,283,000 rev"
HIGH,4.4,ARC General Contracting,Lenexa,Kansas,full-service restaurant,13,58,,1,$20K+,No,Yes,Yes,5,4.0,5,3.0,http://www.arcgc.com,'+1 913-492-8008,KC metro
HIGH,4.4,Eileen's Colossal Cookies - Kansas City,Kansas City,Missouri,bakery/cafe,21,52,36835000,1,$20K+,No,Yes,Yes,5,4.0,4,4.0,,'+1 402-421-6609,"KC metro; $36,835,000 rev"
HIGH,4.4,Pirtle Winery,Weston,Missouri,bar/brewery,13,46,39084000,1,$20K+,No,Yes,Yes,5,3.5,5,3.5,http://www.pirtlewinery.com,'+1 816-640-5728,"KC metro; $39,084,000 rev"
HIGH,4.4,ResourceOne International,Overland Park,Kansas,full-service restaurant,25,112,,1,$20K+,No,Yes,Yes,5,4.0,5,3.0,http://www.r1recruitment.com,'+1 913-563-5775,KC metro
HIGH,4.4,"B & J Peerless Food Service Equipment, Inc.",Kansas City,Kansas,full-service restaurant,36,162,13386000,1,$20K+,No,Yes,Yes,5,4.0,5,3.0,http://www.bjpeerless.com,'+1 417-782-6165,"KC metro; $13,386,000 rev"
HIGH,4.4,Christopher Elbow Chocolates,Kansas City,Missouri,bar/brewery,29,102,4677000,2,$20K+,No,Yes,Yes,5,3.5,5,3.5,http://www.elbowchocolates.com,'+1 415-355-1105,"KC metro; $4,677,000 rev; 2 locations"
HIGH,4.4,The Brass Onion,Overland Park,Kansas,full-service restaurant,21,94,,1,$20K+,No,Yes,Yes,5,4.0,5,3.0,http://www.thebrassonion.com,'+1 913-851-5940,KC metro
HIGH,4.4,Jess & Jim’s Steak House,Kansas City,Missouri,full-service restaurant,13,58,8561000,1,$20K+,No,Yes,Yes,5,3.5,5,3.5,http://www.jessandjims.com,'+1 816-941-9499,"KC metro; $8,561,000 rev"
HIGH,4.4,Governor Stumpy's Grill House,Kansas City,Missouri,bar/brewery,12,42,11956000,2,$20K+,No,Yes,Yes,5,3.5,5,3.5,http://www.governorstumpys.com,'+1 816-444-2252,"KC metro; $11,956,000 rev; 2 locations"
HIGH,4.4,Manildra Group USA,Leawood,Kansas,bakery/cafe,29,72,,1,$20K+,No,Yes,Yes,5,3.5,5,3.5,http://www.manildrausa.com,'+1 800-323-8435,KC metro
HIGH,4.4,Piping Alloys Inc,Lenexa,Kansas,bar/brewery,18,63,,1,$20K+,No,Yes,Yes,5,3.5,5,3.5,http://www.pipingalloys.com,'+1 800-659-4050,KC metro
HIGH,4.4,"Louisburg Cider Mill, Inc.",Louisburg,Kansas,bar/brewery,20,70,,1,$20K+,No,Yes,Yes,5,3.5,5,3.5,http://www.louisburgcidermill.com,'+1 913-837-5202,KC metro
HIGH,4.4,Meat Mitch LLC,Prairie Village,Kansas,full-service restaurant,15,68,,1,$20K+,No,Yes,Yes,5,4.0,5,3.0,http://www.meatmitch.com,'+1 877-545-0005,KC metro
HIGH,4.4,Goebel Mitts Construction,Overland Park,Kansas,full-service restaurant,12,54,,1,$20K+,No,Yes,Yes,5,4.0,5,3.0,http://www.goebelmitts.com,'+1 913-735-0024,KC metro
HIGH,4.4,Watermark Books & Cafe,Wichita,Kansas,bakery/cafe,13,32,8582000,1,$20K+,No,No,Yes,5,3.5,5,3.5,http://www.watermarkbooks.com,'+1 316-682-1181,"MO/KS territory; $8,582,000 rev"
HIGH,4.4,FINKLE + WILLIAMS Architecture,Lenexa,Kansas,full-service restaurant,26,117,9016000,1,$20K+,No,Yes,Yes,5,4.0,5,3.0,http://www.finklewilliams.com,'+1 913-498-1550,"KC metro; $9,016,000 rev"
HIGH,4.4,Johns Farm,Walnut,Kansas,bakery/cafe,18,45,14964000,1,$20K+,No,No,Yes,5,3.0,5,4.0,http://www.johnsfarms.com,'+1 516-933-1444,"MO/KS territory; $14,964,000 rev"
HIGH,4.4,Decision Insight by TELUS Consumer Goods,Kansas City,Missouri,full-service restaurant,15,68,2423000,1,$20K+,No,Yes,Yes,5,4.0,5,3.0,http://www.decisioninsight.com,'+1 816-221-0445,"KC metro; $2,423,000 rev"
HIGH,4.4,Nexus 5 Group,Merriam,Kansas,full-service restaurant,23,104,,1,$20K+,No,Yes,Yes,5,4.0,5,3.0,http://www.nexus5group.com,'+1 913-671-3361,KC metro
HIGH,4.4,Trezo Mare Restaurant and Lounge,Kansas City,Missouri,full-service restaurant,25,112,9014000,1,$20K+,No,Yes,Yes,5,4.0,5,3.0,http://www.trezomare.com,'+1 816-505-3200,"KC metro; $9,014,000 rev"
HIGH,4.4,Platte County Health Department,Kansas City,Missouri,catering/food truck,36,72,3632000,1,$20K+,No,Yes,Yes,5,4.0,5,3.0,http://www.plattecountyhealthdept.com,'+1 816-858-2412,"KC metro; $3,632,000 rev"
HIGH,4.4,Roots. Seasonal Cuisine,Lee's Summit,Missouri,full-service restaurant,11,50,,1,$20K+,No,Yes,Yes,5,4.0,5,3.0,http://www.rootsseasonalcuisine.com,'+1 816-205-4746,KC metro
HIGH,4.4,Ballard Center KS,Lawrence,Kansas,catering/food truck,12,24,9532000,1,$20K+,No,No,Yes,5,3.5,5,3.5,http://www.ballardcenter.org,'+1 785-842-0729,"MO/KS territory; $9,532,000 rev"
HIGH,4.4,BETTY RAE'S ICE CREAM LLC,Kansas City,Missouri,catering/food truck,20,40,,1,$10K-$20K,No,Yes,Yes,4.5,4.0,5,4.0,http://www.bettyraes.com,'+1 913-232-8167,KC metro
HIGH,4.4,Chick N Max,Wichita,Kansas,catering/food truck,27,54,,1,$20K+,No,No,Yes,5,3.5,5,3.5,http://www.chicknmax.com,'+1 316-425-3991,MO/KS territory
HIGH,4.4,ROMA BAKERY,Kansas City,Missouri,bakery/cafe,25,62,20612000,1,$20K+,No,Yes,Yes,5,4.0,4,4.0,http://www.romabakerykc.com,'+1 816-455-8888,"KC metro; $20,612,000 rev"
HIGH,4.4,CORVINO,Kansas City,Missouri,full-service restaurant,40,180,,1,$20K+,No,Yes,Yes,5,4.0,5,3.0,http://www.corvino.com,'+1 816-832-4564,KC metro
HIGH,4.4,Plaza Street Partners,Leawood,Kansas,full-service restaurant,16,72,,1,$20K+,No,Yes,Yes,5,4.0,5,3.0,http://www.plazastreetpartners.com,'+1 913-306-3229,KC metro
HIGH,4.4,Heartland Waffles,Westwood,Kansas,bakery/cafe,12,30,12000000,1,$20K+,No,Yes,Yes,5,3.5,5,3.5,http://www.heartlandwaffles.com,'+1 866-571-0222,"KC metro; $12,000,000 rev"
HIGH,4.3,"Industrial Sealing & Lubrication, inc.",Olathe,Kansas,food/bev general,26,52,9260000,1,$20K+,No,Yes,Yes,5,3.0,5,3.5,http://www.islgroup.com,'+1 913-334-5823,"KC metro; $9,260,000 rev"
HIGH,4.3,Gram & Dun,Kansas City,Missouri,bar/brewery,25,88,3219000,1,$20K+,No,Yes,Yes,5,3.0,5,3.5,http://www.gramanddun.com,'+1 816-389-2900,"KC metro; $3,219,000 rev"
HIGH,4.3,Crossroads Real Estate Group,Kansas City,Missouri,full-service restaurant,29,130,,1,$20K+,No,Yes,Yes,5,3.5,5,3.0,http://www.crossroads-kc.com,'+1 816-298-9998,KC metro
HIGH,4.3,The KC Improv Company,Kansas City,Missouri,bar/brewery,12,42,6622000,2,$20K+,No,Yes,Yes,5,3.0,5,3.5,http://www.kansascitycomedy.com,'+1 816-806-4000,"KC metro; $6,622,000 rev; 2 locations"
HIGH,4.3,BRGR Kitchen + Bar,Kansas City,Missouri,bar/brewery,18,63,,1,$20K+,No,Yes,Yes,5,3.5,5,3.0,http://www.brgrkitchen.com,'+1 816-221-2747,KC metro
HIGH,4.3,Radinas Coffeehouse And Roastery,Manhattan,Kansas,bakery/cafe,23,58,13285000,2,$20K+,No,No,Yes,5,3.0,5,3.5,http://www.radinascoffee.com,'+1 785-537-2345,"MO/KS territory; $13,285,000 rev; 2 locations"
HIGH,4.3,PT's Coffee Roasting Co.,Topeka,Kansas,bar/brewery,27,94,4111000,4,$20K+,No,No,Yes,5,3.0,5,3.5,http://www.ptscoffee.com,'+1 785-862-5282,"MO/KS territory; $4,111,000 rev; 4 locations"
HIGH,4.3,"Tilton, Thomas & Morgan, Inc.",Saint Joseph,Missouri,bar/brewery,13,46,17524000,1,$20K+,No,No,Yes,5,3.0,5,3.5,http://www.ttminsurance.com,'+1 816-233-0266,"MO/KS territory; $17,524,000 rev"
HIGH,4.3,"Acertus Consulting Group, LLC",Overland Park,Kansas,full-service restaurant,16,72,19391000,1,$20K+,No,Yes,Yes,5,3.5,5,3.0,http://www.acertusgroup.com,'+1 913-322-5150,"KC metro; $19,391,000 rev"
HIGH,4.3,Grand Street Cafe,Kansas City,Missouri,bar/brewery,31,108,2394000,2,$20K+,No,Yes,Yes,5,3.5,5,3.0,http://www.grandstreetkc.com,'+1 816-561-8000,"KC metro; $2,394,000 rev; 2 locations"
HIGH,4.3,FireBoard,Kansas City,Missouri,bar/brewery,16,56,,1,$20K+,No,Yes,Yes,5,3.5,5,3.0,http://www.fireboard.com,'+1 816-945-2232,KC metro
HIGH,4.3,Brooksider Sportsbar & Grill,Kansas City,Missouri,bar/brewery,19,66,,1,$20K+,No,Yes,Yes,5,3.5,5,3.0,http://www.brooksider.com,'+1 816-363-4070,KC metro
HIGH,4.3,GROUNDHOUSE COFFEE INC.,Gardner,Kansas,full-service restaurant,16,72,14519000,1,$20K+,No,Yes,Yes,5,3.5,5,3.0,http://www.groundhousecoffee.com,'+1 913-856-5711,"KC metro; $14,519,000 rev"
HIGH,4.3,Graves Foods,Jefferson City,Missouri,full-service restaurant,43,194,,1,$20K+,No,No,Yes,5,3.5,5,3.0,http://www.gravesfoods.com,'+1 573-893-3000,MO/KS territory
HIGH,4.3,Bengelina Hospitality Group,St. Louis,Missouri,bakery/cafe,30,75,,1,$20K+,No,No,Yes,5,3.5,5,3.0,http://www.bengelina.com,'+1 314-932-1088,MO/KS territory
HIGH,4.3,Love to Travel,Overland Park,Kansas,full-service restaurant,27,122,7724000,1,$20K+,No,Yes,Yes,5,3.5,5,3.0,http://www.lovetotravel.com,'+1 913-681-3688,"KC metro; $7,724,000 rev"
HIGH,4.3,The Well,Kansas City,Missouri,bar/brewery,27,94,,1,$20K+,No,Yes,Yes,5,3.5,5,3.0,http://www.waldowell.com,'+1 816-361-1700,KC metro
HIGH,4.3,Main Street Properties/Events,Grandview,Missouri,full-service restaurant,22,99,,1,$20K+,No,Yes,Yes,5,3.5,5,3.0,http://www.mainstreet-properties.com,'+1 269-344-3555,KC metro
HIGH,4.3,PKC Commercial Construction,Lenexa,Kansas,full-service restaurant,19,86,9089000,1,$20K+,No,Yes,Yes,5,3.5,5,3.0,http://www.pkcc.com,'+1 913-782-4646,"KC metro; $9,089,000 rev"
HIGH,4.3,Arthur Bryant's Barbeque,Kansas City,Missouri,catering/food truck,15,30,,2,$10K-$20K,No,Yes,Yes,4.5,4.0,5,3.5,http://www.arthurbryantsbbq.com,'+1 816-231-1123,KC metro; 2 locations
HIGH,4.3,Trumark Homes,Blue Springs,Missouri,full-service restaurant,17,76,,1,$20K+,No,Yes,Yes,5,3.5,5,3.0,http://www.markthebuilder.info,'+1 816-223-9540,KC metro
HIGH,4.3,The Don Bosco Centers,Kansas City,Missouri,catering/food truck,13,26,,1,$10K-$20K,No,Yes,Yes,4.5,4.0,5,3.5,http://www.donbosco.org,'+1 816-427-0161,KC metro
HIGH,4.3,The Golden Scoop,Overland Park,Kansas,bakery/cafe,21,52,,1,$20K+,No,Yes,Yes,5,4.0,4,3.5,http://www.thegoldenscoop.org,,KC metro
HIGH,4.3,Hy-Vee Fast & Fresh,Topeka,Kansas,bakery/cafe,18,45,,1,$10K-$20K,Yes,No,Yes,4.0,5,4,4.5,http://www.hy-veefastandfresh.com,'+1 712-274-8063,Asian/ethnic cuisine; MO/KS territory
HIGH,4.3,Ginger Sue’s,Lee's Summit,Missouri,full-service restaurant,24,108,,1,$20K+,No,Yes,Yes,5,3.5,5,3.0,http://www.gingersues.com,'+1 816-407-7707,KC metro
HIGH,4.3,Brookside Barrio,Kansas City,Missouri,bar/brewery,15,52,,1,$20K+,No,Yes,Yes,5,3.0,5,3.5,http://www.barriokc.com,'+1 816-293-9587,KC metro
HIGH,4.3,Askinosie Chocolate,Springfield,Missouri,bar/brewery,14,49,21000000,1,$20K+,No,No,Yes,5,3.0,5,3.5,http://www.askinosie.com,'+1 417-862-9900,"MO/KS territory; $21,000,000 rev"
HIGH,4.3,"Baldwin Insurance Agency, llc",Kearney,Missouri,full-service restaurant,14,63,5503000,1,$20K+,No,Yes,Yes,5,3.5,5,3.0,http://www.baldwininsuranceagency.com,'+1 816-628-0092,"KC metro; $5,503,000 rev"
HIGH,4.3,"Nationwide Transportation and Logistics Services, Inc.",Shawnee,Kansas,food/bev general,25,50,10442000,1,$20K+,No,Yes,Yes,5,3.0,5,3.5,http://www.nationwidetransportation.com,'+1 913-888-1685,"KC metro; $10,442,000 rev"
HIGH,4.3,Spicin Foods,Kansas City,Kansas,food/bev general,27,54,,1,$20K+,No,Yes,Yes,5,3.0,5,3.5,http://www.spicinfoods.com,'+1 800-568-8468,KC metro
HIGH,4.3,The Wellington Senior Living,Liberty,Missouri,full-service restaurant,22,99,,1,$20K+,No,Yes,Yes,5,3.5,5,3.0,http://www.wellingtonseniorliving.com,'+1 816-722-3077,KC metro
HIGH,4.3,Good Spirits Distilling,Olathe,Kansas,bar/brewery,19,66,,1,$20K+,No,Yes,Yes,5,3.5,5,3.0,http://www.gsdalcohol.com,'+1 913-361-8070,KC metro
