company,city,state,segment,website,overall_score,priority,apollo_emp,est_premium,in_kc_metro,business_status,location_match,identity_match,recommendation,skip_reason,verification_notes
Home Lumber and Supply Company,Ashland,Kansas,Construction,http://www.homelumberandsupply.com,4.3,HIGH,200,$30K-$80K+,False,OPEN,KS,MATCH,REVEAL,,Ashland KS HQ since 1905; 16 locations central/southern KS + Lawton OK; largest multi-unit building materials retailer in KS; 106 W 8th Ave Ashland; lumber/hardware/doors/cabinets.
Sandifer Engineering and Controls,Wichita,Kansas,Construction,http://www.sandifercontrols.com,4.3,HIGH,40,$25K-$60K,False,OPEN,KS,MATCH,REVEAL,,Wichita KS HVAC controls/fire alarm/security since 1980; $6.8M revenue; Bob Sandifer President; 229 S Ellis St; building automation/access control.
STUART & ASSOCIATES COMMERCIAL FLOORING INC,Wichita,Kansas,Construction,http://www.stuartandassociates.com,4.3,HIGH,30,$25K-$60K,False,OPEN,KS,MATCH,REVEAL,,Wichita KS commercial flooring contractor since 2003; 4611 W Harry; commercial/residential carpet/laminate/wood/LVT; Wichita Chamber member; FCICA contractor.
CREECH HORSE TRANSPORTATION,Troy,Missouri,Transport/Logistics,http://www.creechhorsetransportation.com,4.3,HIGH,40,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,Troy MO equine trucking since 1965 (4th gen); 15-horse air-ride vans Peterbilt/Freightliner; offices Troy MO + Lexington KY + Ocala FL; 636-528-7900.
CJC Transport,Berkeley,Missouri,Transport/Logistics,http://www.cjctransport.com,4.3,HIGH,44,$25K-$60K,True,OPEN,MO,MATCH,REVEAL,,Berkeley MO trucking + 3PL since ~2007; $11.3M revenue; 44 employees; Chris Connolly President; 4659 World Pkwy Cir; LTL/flatbed/temp-control/full-truckload + warehouse STL/Denver.
CMW LLC,Wichita,Kansas,Construction,http://www.cenmech.com,4.3,HIGH,40,$25K-$60K,False,OPEN,KS,MATCH,REVEAL,,Central Mechanical Wichita HVAC/plumbing contractor since 1990; $6.8M revenue; 2306 E 47th St S Wichita KS; commercial/govt/educational/medical.
"CMT,LLC",St. Louis,Missouri,Construction,http://www.cmtconstructiongroup.com,4.3,HIGH,30,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,St. Louis MO commercial GC since 2012; MWBE; clients Lambert Airport/BJC Children's/Wash U/St Louis Public Schools/Union Station; STL Partnership EDA loan recipient.
"CM3, Inc.",Wichita,Kansas,Construction,http://www.cm3mechanical.com,4.3,HIGH,40,$25K-$60K,False,OPEN,KS,MATCH,REVEAL,,Wichita KS mechanical/HVAC/plumbing contractor; 2019 merger of Commercial Mechanical Inc + 3R Mechanical (30+ yr combined history); Doug Kirkland + Mike Strelow co-founders; 1831 S Anna; commercial focus (hospitals/correctional/hotels/edu).
CB Construction Services,Paola,Kansas,Construction,http://www.cbcsllc.com,4.3,HIGH,55,$30K-$80K+,True,OPEN,KS,MATCH,REVEAL,,Paola KS commercial GC since 1957 (60+ yrs); licensed in 40+ states; 401 W Wea St; verticals education/multi-family/hospitality/retail/fueling.
CFM Logistics,Maryland Heights,Missouri,Transport/Logistics,http://www.cfmlogistics.com,4.3,HIGH,16,$15K-$40K,False,OPEN,MO,MATCH,REVEAL,,Maryland Heights MO 3PL brokerage (Central Freight Management LLC) since 1995; originally logistics arm for Golden State Foods (McDonald's distributor); 13723 Riverport Dr Suite 104; 16 employees.
BulkLoads,Springfield,Missouri,Transport/Logistics,http://www.bulkloads.com,4.3,HIGH,35,$15K-$40K,False,OPEN,MO,MISMATCH,SKIP,SaaS marketplace platform misclassified as Transport/Logistics carrier (same pattern as Sunnybrook batch9 SKIP),Springfield MO bulk freight load board / SaaS marketplace; not a trucking operator. 1340 E Woodhurst Dr Suite A. Tech/SaaS vertical (which Anvo also serves) but vertical-misclassified in master list - SKIP at this stage; revisit under tech/SaaS list if desired.
SFP Landscaping Inc,St. Louis,Missouri,Construction,http://www.sfplandscapinginc.com,4.3,HIGH,40,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,St Louis MO landscape design/install/maintenance since 1978 (40+ yrs); 9800 Gravois Rd; 4.8 Angi rating; staff includes landscape architects/designers/horticulturalists; residential + commercial.
