company,city,state,segment,website,overall_score,priority,apollo_emp,est_premium,in_kc_metro,business_status,location_match,identity_match,recommendation,skip_reason,verification_notes
Aegis Fire Protection LLC,Overland Park,Kansas,Construction,http://www.aegisfirepro.com,4.3,HIGH,20,,True,OPEN,KS,MATCH,REVEAL,,OP KS fire-sprinkler/alarm contractor (full Apollo name was truncated per 2026-04-05 batch5 learning); site 200 OK.
"Capital Trucking, LLC",Topeka,Kansas,Transport/Logistics,http://www.captrucking.com,4.3,HIGH,23,,False,OPEN,KS,MATCH,REVEAL,,Topeka KS trucking; site 200 OK.
"Kendall Construction, Inc.",Topeka,Kansas,Construction,http://www.trustkendall.com,4.3,HIGH,28,,False,OPEN,KS,MATCH,REVEAL,,Topeka KS GC; site 200 OK.
"Lawrence Landscape, Inc.",Lawrence,Kansas,Construction,http://www.lawrencelandscape.com,4.3,HIGH,24,,True,OPEN,KS,MATCH,REVEAL,,Lawrence KS landscaping (since 1987); site returns 403 to bot UAs but business confirmed via Houzz/Yelp/Chamber.
Topeka Metro,Topeka,Kansas,Transport/Logistics,http://www.topekametro.org,4.3,HIGH,45,,False,OPEN,KS,MATCH,SKIP,Government entity - municipal transit authority,"Topeka MTA = Metropolitan Transit Authority of the city of Topeka. Public transit covered by Kansas Municipal Insurance Trust or self-insurance, not commercial market. SKIP."
WANO – Japanese Truck Parts,Independence,Missouri,Transport/Logistics,http://www.wano.com.au,4.3,HIGH,23,,True,CLOSED,AU,MISMATCH,SKIP,Apollo geo-misclassification - AU not US,"wano.com.au is the Australian truck-parts distributor with 15 stores nationally in AU, no US operations. Apollo wrongly tagged Independence MO; same cross-country misclassification pattern as Thai Binh."
"SENNE & COMPANY, INC.",Topeka,Kansas,Construction,http://www.sennecompany.com,4.3,HIGH,14,,False,OPEN,KS,MATCH,REVEAL,,Topeka KS contractor; site 200 OK.
Mechanical Contractors Association of Kansas City (MCA of Kansas City),Overland Park,Kansas,Construction,http://www.mcakc.org,4.3,HIGH,6,,True,OPEN,KS,MATCH,SKIP,Trade association,"Per learning 2026-05-05 (Mechanical Contractors Association = trade association, same as MCA of Eastern Missouri SKIP). Not insurable as a contractor."
221 Construction LLC.,Kearney,Missouri,Construction,http://www.221construction.com,4.3,HIGH,15,,True,OPEN,MO,MATCH,REVEAL,,Kearney MO GC owned by Donald Fotheringhame; 16 yrs in business per BBB. Site currently 404 but business confirmed via Houzz/Yelp/HomeAdvisor.
"KBS Constructors, Inc.",Topeka,Kansas,Construction,http://www.kbsci.com,4.3,HIGH,76,,False,OPEN,KS,MATCH,REVEAL,,Topeka KS GC; site 200 OK.
Century Building Solutions,Lawrence,Kansas,Construction,http://www.centurybuildingsolutions.com,4.3,HIGH,11,,True,OPEN,KS,MATCH,REVEAL,,Lawrence KS contractor; site 200 OK.
Shirley Construction,Topeka,Kansas,Construction,http://www.shirley-construction.com,4.3,HIGH,15,,False,OPEN,KS,MATCH,REVEAL,,Topeka KS GC; site 200 OK.
Winston Brown Remodeling,Topeka,Kansas,Construction,http://www.winston-brown.com,4.3,HIGH,12,,False,OPEN,KS,MATCH,REVEAL,,Topeka KS remodeler; site 200 OK.
