"rank","company","city","state","tier","segment","website","apollo_biz_type","verified_biz_type","verification_status","evidence","recommendation","notes"
"11","ALL PRO Electrical Technology, Inc.","Warrensburg","Missouri","1","Construction","http://www.allproelectrical.com","Construction","Electrical Contractor","OPEN","Active website; 51-200 employees; BBB profile; updated July 2025.","REVEAL","Located 94 SE 501st Rd; serves material handling and grain handling industries."
"12","North Kansas City Electric","Kansas City","Missouri","1","Construction","http://www.nkce.com","Construction","Electrical Contractor","OPEN","Active website; founded 2000; 11-50 employees; 24/7/365 availability.","REVEAL","Located 200 E 15th Ave North KC; offers EV charging and alternative energy systems."
"13","Newkirk Novak Construction Partners","Lenexa","Kansas","1","Construction","http://www.newkirknovak.com","Construction","General Contractor","OPEN","Active website; founded 2017; 62 employees; expanding to new Lackman Library HQ.","REVEAL","Located 15345 W 87th St; specializes in public/educational/healthcare; 40+ combined years experience."
"14","Neighbors Construction Company, Inc.","Olathe","Kansas","1","Construction","http://www.neighborsconstruction.com","Construction","General Contractor","OPEN","Active website; family-owned 75 years since 1951; 3rd generation leadership.","REVEAL","Located 1708 E 123rd St; specializes in multifamily luxury and mixed-use; $60M+ completed."
"15","LMG Construction","Kansas City","Missouri","1","Construction","http://www.lmgbuilds.com","Construction","Commercial Plumbing","OPEN","Active website; founded 2007 by Lisa Garney; $60M+ military construction projects.","REVEAL","Located 3011 Roanoke; CCASS Outstanding ratings at Whiteman AFB and Ft Leonard Wood."
"16","Monarch Build","Overland Park","Kansas","1","Construction","http://www.monarch.build","Construction","General Contractor","OPEN","Active website updated April 2026; founded 2018; 35 employees; $3M revenue.","REVEAL","Located 8100 Newton St Suite 300; 37 building permits for $22M+."
"17","Pacific Mutual Door","Kansas City","Missouri","1","Construction","http://www.pacificmutualdoor.com","Construction","Millwork/Doors/Windows","OPEN","Website redirects to olathemillwork.com; 113 years since 1912; third-generation family owned.","REVEAL","Located 1525 W 31st St; showroom in Overland Park; national company scope."
"18","PM Contracting, Inc.","Grandview","Missouri","1","Construction","http://www.pmcontractinginc.com","Construction","Mechanical Contractor","OPEN","Active website at pmc-kc.com; incorporated 2004; 51-200 employees; A+ BBB rating.","REVEAL","Located 4015 E 143rd St; union trades; 24/7 service; offers HVAC/plumbing/electrical."
"19","Nationwide Equipment Transportation Inc.","Merriam","Kansas","1","Transport/Logistics","http://www.nationwidetrans.com","Transport/Logistics","Equipment Transportation","OPEN","Active website; founded 2005; 10,000+ carrier network; DOT USDOT 2235292.","REVEAL","Located 6750 Antioch Rd Ste 105; specializes in medical devices and precision electronics."
"20","Idle Smart","Kansas City","Kansas","1","Transport/Logistics","http://www.idlesmart.com","Transport/Logistics","Fleet Technology","OPEN","Active website March 2026; founded 2011; 212% ROI claim; predictive maintenance focus.","REVEAL","Idle reduction technology for Class 8 trucks; customer portal active; blog current."
"21","FreightSnap, LLC","Lenexa","Kansas","1","Transport/Logistics","http://www.freightsnap.com","Transport/Logistics","Freight Dimensioning","OPEN","Active website updated Dec 2025; founded 2012; 23 employees; $1M revenue.","REVEAL","Located 7939 Flint St; serves LTL carriers, 3PLs, Fortune 500 manufacturers."
"22","FLI Transportation and Logistics","Overland Park","Kansas","1","Transport/Logistics","http://www.fliinc.net","Transport/Logistics","3PL Freight","OPEN","Active website updated Feb 2026; founded 2003; $11.4M revenue; FMCSA licensed.","REVEAL","Located 12980 Metcalf Suite 240; offers LTL/TL/international/specialized services."
"23","Rand Construction Company","Kansas City","Missouri","1","Construction","http://www.randsc.com","Construction","General/Mechanical Contractor","OPEN","Active website updated Aug 2025; founded 1983; $16.3M revenue; 48 employees.","REVEAL","Located 1428 W 9th St; self-performs construction; served Hawaii/Cuba/Alaska/Guam."
"24","Jericho Home Improvements, LLC","Kansas City","Kansas","1","Construction","http://www.homeimprovementskansascity.com","Construction","Home Remodeling","OPEN","Active website; established 1999; 6 project managers + 50+ craftsmen; BBB accredited.","REVEAL","Located 1954 Foxridge Dr; 10,000+ kitchen/bath remodels; 100% money-back guarantee."
"25","M&J Transportation, Inc.","Kansas City","Missouri","1","Transport/Logistics","http://www.mjtransportationkc.com","Transport/Logistics","Trucking/Intermodal","UNVERIFIED","Website error ECONNREFUSED; Google shows active; family-owned since 1984; HAZMAT certified.","MANUAL CHECK","Located 3536 Nicholson Ave; flatbed/dry van/intermodal; 300-mile service radius."
"26","M & M Quality Solutions","Kansas City","Missouri","1","Transport/Logistics","http://www.mmqualitysolutions.com","Transport/Logistics","3PL Logistics & Fulfillment","OPEN","Website active with March 2026 content; 3PL services confirmed; located at 10960 N Congress Ave KC MO 64153.","REVEAL","Four fulfillment centers nationwide; 99%+ inventory accuracy; 20+ years operating."
"27","Core Carrier Corporation","Kansas City","Kansas","1","Transport/Logistics","http://www.corecarrier.com","Transport/Logistics","Trucking/Transportation","OPEN","Website active; SAFER database shows active carrier; USDOT 370419; owned by Sharkey Transportation.","REVEAL","150-200 trucks; dry van fleet; operating since 1989; located at 1020 Sunshine Rd KS 66115."
"28","Convoy Systems LLC","Kansas City","Kansas","1","Transport/Logistics","http://www.convoysystems.com","Transport/Logistics","Truckload Freight","OPEN","Website active with current content; established 1983; 333 N James St Kansas City KS 66118.","REVEAL","Fleet of ~100 trucks and 250 trailers; Samsara tracking; hazmat and drop trailer services."
"29","Columbia Group","Liberty","Missouri","1","Transport/Logistics","http://www.columbia-group.com","Transport/Logistics","Maritime Container/Intermodal","MISMATCH","Website is active but serves maritime port operations in NJ/NY area, not Missouri-based transport.","SKIP","Portal/port operations company; Elizabeth Newark Bayonne locations; wrong geographic focus."
"30","Cartwright International","Grandview","Missouri","1","Transport/Logistics","http://www.cartwrightinternational.com","Transport/Logistics","International Household Goods Movers","OPEN","Website active; 92 years in operation (1934-present); 11901 Cartwright Ave Grandview MO 64030.","REVEAL","13,000+ households moved annually; military PCS specialist; 187 countries served; BBB Accredited."
"31","Rodrock Homes LLC","Lenexa","Kansas","1","Construction","http://www.rodrockhomes.com","Construction","Residential Home Builder","OPEN","Website active with current content; third generation builder; 9550 Dice Ln Lenexa KS 66215.","REVEAL","30+ floor plans; 15+ communities; move-in ready homes; established 2002."
"32","Rau Construction Company","Overland Park","Kansas","1","Construction","http://www.rauconstruction.com","Construction","General Contractor","OPEN","Website active; 100+ years in KS; headquarters Overland Park 60 years; 9101 W 110th St Suite 150.","REVEAL","$8.2M revenue; 25 employees; 233 permitted projects; BuildZoom top 5%."
"33","International Express Trucking, Inc. (IXT)","Kansas City","Kansas","1","Transport/Logistics","http://www.ixtkc.com","Transport/Logistics","Intermodal Drayage/Trucking","OPEN","Website active; established 1993; 3359 Brinkerhoff Rd Kansas City KS 66115; certified woman-owned.","REVEAL","Three-time Kansas Woman Owned Business of Year; hazmat certified; 24/7 operations."
"34","InterCity Direct LLC","Lenexa","Kansas","1","Transport/Logistics","http://www.intercitydirect.com","Transport/Logistics","Transportation Broker/Trucking","OPEN","Website active; established 2004; Lenexa location opened 2013; 13202 W 98th St Lenexa KS 66215.","REVEAL","Heavy haul, liquid/dry bulk, refrigerated services; BBB accredited; family-owned."
"35","Infiniti Logistics, Inc.","Overland Park","Kansas","1","Transport/Logistics","http://www.infinitilogistics.com","Transport/Logistics","Freight Broker","UNVERIFIED","Website access refused (403 error); LinkedIn and SAFER records confirm company exists; MC #628915.","MANUAL CHECK","40+ years collective experience; 5750 W 95th St Overland Park KS 66207; truckload/LTL services."
"36","SJ Electric LLC","Merriam","Kansas","1","Construction","http://www.sjelectricllc.com","Construction","Electrical Contractor","OPEN","Website active with Jan 2025 update; 9410 W 61st St Merriam KS 66203; founded 2010.","REVEAL","Master electrician owned; 10+ years operating; residential and commercial; 24/7 emergency services."
"37","SFE Enterprises","Belton","Missouri","1","Construction","http://www.sfeenterprises.com","Construction","Wholesale Distributor","MISMATCH","Website active but company is wholesale distributor (plumbing/HVAC/irrigation), not construction contractor.","SKIP","Plumbing, HVAC, hydronic, irrigation distributor; founded 1980; multi-state coverage."
"38","Interior Surface Enterprises L.L.C.","Olathe","Kansas","1","Construction","http://www.interiorsurface.com","Construction","Commercial Flooring Contractor","OPEN","Website access denied; verified through BBB/Yelp/Facebook; A+ BBB rating; 19940 W 161st St Olathe KS.","REVEAL","Established 1981; $2M revenue; bondable; 16 employees; carpet and resilient flooring specialist."
"39","Insco Industries, Inc.","Shawnee","Kansas","1","Construction","http://www.inscoind.com","Construction","Mechanical Insulation & Coating","OPEN","Website exists; SAFER, ZoomInfo, and Yelp confirm active status; 6902 Martindale Rd Shawnee KS.","REVEAL","Founded 1984; $7M revenue; 35 employees; mechanical insulation, asbestos/lead removal, flooring."
"40","Infinite Energy Engineering & Construction","Kansas City","Missouri","1","Construction","http://www.infiniteenergyconstruction.com","Construction","Electrical Construction/General Contractor","OPEN","Website redirects to infiniteenergy-ec.com; active site; 13625 Oak St Kansas City MO 64145.","REVEAL","$21M revenue; 55 employees; MBE/DBE/8(a) certified; 30 years operating; mission-critical infrastructure."
"41","Ashlar Homes","Blue Springs","Missouri","1","Construction","http://www.ashlarhomeskc.com","Construction","Residential Home Builder","OPEN","Website active with 2025 community info; 2800 NW Hunter Dr Blue Springs MO 64015; BBB Accredited 2022.","REVEAL","$9.5M revenue; 19 employees; 6+ communities; custom and move-in ready homes; 14 years operating."
"42","Robertson Trucks LLC","Independence","Missouri","1","Transport/Logistics","http://www.robertson-trucks.com","Transport/Logistics","Trucking/Transportation","OPEN","Website access denied; SAFER USDOT 3666726 and carrier databases confirm active; 10701 E Winner Rd Independence.","REVEAL","Founded 2021; 405 trucks, 420 drivers; FTL, LTL, dedicated services; actively hiring."
"43","Precision Concrete Cutting and Coring","Kansas City","Kansas","1","Construction","http://www.wecutkc.com","Construction","Concrete Cutting/Coring","OPEN","Website active with current content; 3155 Fiberglass Rd Kansas City KS 66115; established 2005.","REVEAL","24/7 operations; multi-location (Columbia MO, St. Louis MO); Brokk and Husqvarna equipment."
"44","Power Dry","Lenexa","Kansas","1","Construction","http://www.powerdrykc.com","Construction","Water Damage Restoration","OPEN","Website active; 15220 College Blvd Lenexa KS 66219; established 1988; BBB Accredited 2008.","REVEAL","35 employees; mold remediation added; 60-minute response times; multi-state service area."
"45","Pearce Construction","Kansas City","Missouri","1","Construction","http://www.pearceconstruction.com","Construction","General Contractor","OPEN","Website active (last modified Jan 2025); 417 E 135th St Kansas City MO; established 1953.","REVEAL","70+ years operating; 750+ projects; 150+ churches; $21M+ portfolio experience."
"46","SAB Homes (SAB Construction, LLC)","Lee's Summit","Missouri","1","Construction","http://www.sabhomes.com","Construction","Residential Home Builder","OPEN","Website active with 2025 parade info; 200 NW Commerce Ct Lee's Summit MO 64086; established 1989.","REVEAL","16+ communities; $400k-$6M price range; design/build model; 4.8/5 customer rating."
"47","Shaw Supply Company","Kansas City","Missouri","1","Construction","http://www.shawsupply.com","Construction","Electrical Supply Distributor","MISMATCH","Website active but company is electrical distributor not construction contractor; 1307 Vernon St NKC MO 64116.","SKIP","Third generation family business since 1957; recently relocated (2024); electrical supply focus."
"48","Scovell Remodeling, Inc.","Kansas City","Missouri","1","Construction","http://www.scovellremodeling.com","Construction","Home Remodeling","OPEN","Website active; 8035 Ward Parkway Plz Kansas City MO 64114; organized 1989; restructured 2016.","REVEAL","25+ years in business; dozens of awards; specializes in traditional home remodeling."
"49","Schweiger Construction Company","Overland Park","Kansas","1","Construction","http://www.schweigercc.com","Construction","General Contractor","OPEN","Website active (Feb 2026 update); 10975 Grandview Dr Suite 390 Overland Park KS 66210; established 1889.","REVEAL","$25.5M revenue; 44 employees; licensed in 48 states; 10,000+ projects; $1B+ portfolio."
"50","Schloegel Design Remodel","Kansas City","Missouri","1","Construction","http://www.remodelagain.com","Construction","Home Remodeling","OPEN","Website active; 311 W 80th St Kansas City MO 64114; established 1980; 4.9/5 Houzz rating.","REVEAL","45+ years operating; handyman and design-build services; multi-neighborhood coverage."
"51","Horizon Lawn & Landscape","Lee's Summit","Missouri","1","Construction","http://www.horizonlawnkc.com","Construction","Landscaping Services","OPEN","Active website updated March 2025; serves KC area with 25+ years; EXCELLENT rating with 180+ reviews.","REVEAL","Operates in MO/KS territory; multiple service locations visible."
"52","Home Builders Association of Greater Kansas City","Kansas City","Missouri","1","Construction","http://www.kchba.org","Construction","Trade Association","OPEN","Website current Feb 2026; operates since 1937; represents 550+ member companies.","MANUAL CHECK","Non-profit trade association — not an insurable contractor. Skip as insurance prospect; useful for referral network only."
"53","SVB Wood Floors","Grandview","Missouri","1","Construction","http://www.svbwoodfloors.com","Construction","Hardwood Flooring","OPEN","Active website March 2026; family-owned 15+ years; serves KC area in MO/KS.","REVEAL","Showroom in Grandview MO; Houzz/Yelp verified; recent reviews."
"54","CargoQuotes","Lee's Summit","Missouri","1","Transport/Logistics","http://www.cargoquotes.com","Transport/Logistics","Freight Brokerage","OPEN","Website active Dec 2025; freight broker with 25 employees; cross-border specialist.","REVEAL","USDOT verified; in MO territory; active on FMCSA database."
"55","Caravan Trailer","Kansas City","Missouri","1","Transport/Logistics","http://www.caravantrailer.com","Transport/Logistics","Trailer Sales/Repair","OPEN","Website active March 2026; Wabash dealer; repairing all trailer types.","REVEAL","Located Kansas City MO 64116; active Yelp listing; Wicks Truck Trailers partner."
"56","CJ Industries, LLC","Kansas City","Kansas","1","Construction","http://www.cjikc.com","Construction","General/Mechanical Contractor","OPEN","Website active; founded 2013; MBE/WBE certified in KS/MO; 2019 top 25 minority firm.","REVEAL","Lenexa KS location verified; significant certifications and awards."
"57","CDM Investment Group, Inc.","Overland Park","Kansas","1","Construction","http://www.cdminvestmentgroup.com","Construction","Construction Investment/Holding Co","OPEN","Website active Feb 2026; owns/operates multiple construction subsidiaries (E&K, Brady West, Elljay).","REVEAL","Overland Park KS verified; parent company model; established 2005."
"58","CDI Industrial and Mechanical Contractors, Inc.","Lenexa","Kansas","1","Construction","http://www.cdikc.com","Construction","Industrial/Mechanical Contractor","OPEN","Google search confirms Lenexa location 16047 W 110th; founded 1973; 51-200 employees.","REVEAL","Lenexa KS verified; established 1973; licensed union contractor (UA Local 178)."
"59","CityWide Electric Inc.","Shawnee","Kansas","1","Construction","http://www.cweinc.net","Construction","Commercial Electrical Contractor","OPEN","Website active Dec 2024; established 2000; serves K-12 and commercial projects.","REVEAL","Shawnee KS location verified; 11-50 employees; strong school district presence."
"60","Certified Industrial Partners","Kansas City","Missouri","1","Construction","http://www.ci.partners","Construction","Industrial Refrigeration Network","OPEN","Website active; nationwide network founded from Preston Refrigeration (1946); Kansas City HQ.","REVEAL","Kansas City MO 64120 location verified; 11-50 employees at corporate office."
"61","ASAP Transport Solutions","Lenexa","Kansas","1","Transport/Logistics","http://www.asaptransportsolutions.com","Transport/Logistics","Auto & Freight Shipping","OPEN","Website updated March 2026; BBB A+ accredited since 2021; 436 reviews 4.8 stars.","REVEAL","Lenexa KS location verified; established 2012; 40,000+ carrier network."
"62","Assisted Student Transportation Services","Kansas City","Kansas","1","Transport/Logistics","http://www.assistedtransportation.com","Transport/Logistics","Student Transportation","OPEN","Website active March 2026; serves multiple Kansas school districts; A+ BBB rating.","REVEAL","Kansas City KS verified; operates in Olathe/Overland Park/Shawnee Mission districts."
"63","Clifton Homes","Blue Springs","Missouri","1","Construction","http://www.clifton-homes.com","Construction","Custom Home Builder","OPEN","Google search BBB verified; 25+ years entitling/developing; multi-family specialist.","REVEAL","Blue Springs MO verified; 509 NW 5th St; founded 2004."
"64","SiTESPAN LLC","Lenexa","Kansas","1","Construction","http://www.sitespanllc.com","Construction","Mission-Critical Facility Contractor","OPEN","Website active 2026; founded 2008; specializes in data center/technical facilities.","REVEAL","Lenexa KS verified; 28 employees; 95 BuildZoom score."
"65","Heartland Plumbing, Inc.","Gardner","Kansas","1","Construction","http://www.heartlandplumbing.com","Construction","Commercial/Residential Plumbing","OPEN","Website active Feb 2026; established 1988; 30+ years family-owned.","REVEAL","Gardner KS verified; serves KC area; BBB/Angi reviewed."
"66","Construction Brokers, Inc.","Grandview","Missouri","1","Construction","http://www.cbicontractors.com","Construction","Elevator Modernization Contractor","OPEN","Website active; established 1964; 60+ years; 7,000+ projects across 30+ states.","REVEAL","Grandview MO verified; specialized elevator/escalator modernization focus."
"67","Peninsula Polymers","Leawood","Kansas","1","Manufacturing","http://www.penpoly.com","Manufacturing","Specialty Chemical Distributor","OPEN","Website active May 2025; established 1990; $5.7M revenue; 16 warehouses nationwide.","REVEAL","Leawood KS verified; 31 employees; chemical distribution business."
"68","Sun Marble - Kansas","Lenexa","Kansas","1","Construction","http://www.sunmarblekc.com","Construction","Natural Stone Distributor","OPEN","Google search confirms Lenexa 9600 Dice Ln; stocks 150+ stone varieties; HanStone Quartz exclusive distributor.","REVEAL","Lenexa KS verified; BBB profile active; Yelp/Houzz listed."
"69","Apex Construction, Inc","Lenexa","Kansas","1","Construction","http://www.apexconstructionkc.com","Construction","Commercial General Contractor","OPEN","Website active Dec 2025; established 1994; specializes in design/build, warehouse/industrial.","REVEAL","Lenexa KS verified; 29 employees; strong KC metro presence."
"70","American Fire Sprinkler Corp","Mission","Kansas","1","Construction","http://www.americanfiresprinkler.com","Construction","Fire Sprinkler Contractor","OPEN","Website active; established 1968; $8.1M revenue; 46 employees; 20,000 sq ft fabrication facility.","REVEAL","Mission KS verified; WBE certified; largest/most respected in Midwest."
"71","Alliance Fire Protection LLC","North Kansas City","Missouri","1","Construction","http://www.afpsprink.com","Construction","Fire Protection Contractor","OPEN","Google search confirms North Kansas City location 130 W 9th Ave; serving KC area since 2001.","REVEAL","North Kansas City MO verified; NICET level 3 designers; 24/7 emergency service."
"72","Sims Global Solutions","Lenexa","Kansas","1","Transport/Logistics","http://www.shipsims.com","Transport/Logistics","Freight & Logistics Broker","OPEN","Website active July 2025; founded 2010; $60M revenue; 51 employees.","REVEAL","Lenexa KS verified; 40,000+ drivers; Fortune 100 client base."
"73","Simlog Solutions","Kansas City","Kansas","1","Transport/Logistics","http://www.simlogsolutions.com","Transport/Logistics","Moving/Final Mile Delivery","OPEN","Website active March 2025; established 2013; A+ BBB rating; 115+ employees.","REVEAL","Kansas City KS verified; 40+ box trucks daily; 160K+ deliveries since 2023."
"74","Schmuhl Brothers, Inc.","Kansas City","Kansas","1","Transport/Logistics","http://www.schmuhlbrothers.com","Transport/Logistics","Intermodal/Drayage Trucking","OPEN","Website active Dec 2025; founded 1995; 50+ tractors; 100 employees; 15-acre facility.","REVEAL","Kansas City KS verified; family-owned; 150K sq ft warehousing."
"75","BSM Wall Systems","Lenexa","Kansas","1","Construction","http://www.bsmwallsystems.com","Construction","Masonry/Stucco Contractor","OPEN","Website active Jan 2024; established 2008; $5.1M revenue; 31 employees; multi-regional presence.","REVEAL","Lenexa KS verified; specializes in masonry/thin veneer/EIFS."
"76","Moving Proz Kansas City","Kansas City","Missouri","1","Transport/Logistics","http://www.movingproz.com","Transport/Logistics","Moving Services","OPEN","Website active; Yelp 4.9 stars 3,213 reviews; located at 200 W 5th St Kansas City MO; SBA certified woman-owned.","REVEAL","SBA certified; A+ BBB rating; 10+ years experience."
"77","Midwest Express Corporation","Lenexa","Kansas","1","Transport/Logistics","http://www.mwex.net","Transport/Logistics","Trucking/Transportation","OPEN","SAFER USDOT active carrier; website operational; 100+ trucks; 240 dry vans; 22-state region.","REVEAL","Founded 1982; 51-200 employees; regional LTL and truckload; 9220 Marshall Dr Lenexa KS."
"78","Midwest Companies","Kansas City","Kansas","1","Transport/Logistics","http://www.midwestts.com","Transport/Logistics","Transport/Logistics","OPEN","Midwest TS website shows 200+ drivers; in-house brokers; active operations; SAFER confirms 400 Kansas Ave KC KS.","REVEAL","Over 200 drivers; full-service transportation; established company in Kansas City area."
"79","Mid-Western Car Carriers","Kansas City","Missouri","1","Transport/Logistics","http://www.mwcci.com","Transport/Logistics","Auto Hauling/Car Transport","OPEN","Website shows active operations; 2010 Television Place KC MO; hiring for car haulers; 35+ years in business.","REVEAL","Founded 1976; 41 years in business; BBB profile active; Yelp updated February 2026."
"80","Owen Lumber Co.","Lee's Summit","Missouri","1","Construction","http://www.owenlumber.com","Construction","Lumber/Building Materials","OPEN","Website confirms three KC area locations including Lee's Summit; operating 1971-present; 22-truck delivery fleet.","REVEAL","Family-owned since 1971; three locations (Belton, Excelsior Springs, Lee's Summit); specializes in decking and builder supplies."
"81","Starr Homes","Overland Park","Kansas","1","Construction","http://www.starrhomes.net","Construction","Home Builder","OPEN","Website shows active operations; multiple communities in Overland Park and Stilwell KS; BBB profile verified March 2026.","REVEAL","Premier custom home builder since 2004; builds in Overland Park and multiple KC suburbs; $1B+ in sales."
"82","Stanger Industries Inc.","Kansas City","Missouri","1","Construction","http://www.stangerinc.com","Construction","Mechanical Contracting","OPEN","BBB profile shows mechanical contracting firm; ZoomInfo and Procore listings active; family business founded 1981; 70+ employees.","REVEAL","Family-owned since 1981; 70+ employees; HVAC/plumbing/sheet metal; 4911 Elmwood Ave KC MO."
"83","Haren Companies","Lenexa","Kansas","1","Construction","http://www.harencompanies.com","Construction","General Contracting","OPEN","Website shows active operations; founded 1932; multiple ongoing projects; chamber of commerce listings current.","REVEAL","Founded 1932; design-build and construction management; 8035 Nieman Rd Lenexa KS 66214."
"84","Custom Stone Tile","Overland Park","Kansas","1","Construction","http://www.customstonetile.biz","Construction","Tile/Stone Contractor","OPEN","Yelp shows active listing at 6500 Metcalf Ave Mission KS; positive reviews; specialized tile and countertop services.","MANUAL CHECK","Located in Mission KS (not Overland Park as Apollo shows) but serves Overland Park area; address discrepancy."
"85","Cunningham Construction","Olathe","Kansas","1","Construction","http://www.cunninghamconstruction.com","Construction","General Contracting","OPEN","Website active; Yelp listing updated February 2026; nationwide contractor; BuildZoom score 99.","REVEAL","Founded 1985; general contracting and construction management; Olathe KS 66062."
"86","Creative Renovations LLC","Overland Park","Kansas","1","Construction","http://www.creativerenovationskc.com","Construction","Home Remodeling","OPEN","Website active; licensed and insured; Kansas County registration current; Facebook and Nextdoor profiles active.","REVEAL","Home remodeling and contractor services; 913-579-7111; hours M-F 9am-6pm."
"87","Kornis Electric Supply Inc","Lee's Summit","Missouri","1","Manufacturing","http://www.kornis.com","Manufacturing","Electrical Distributor","OPEN","Yelp listing updated February 2026; EPCO affiliate; established 1971; 49+ years operation; 1000 SE Hamblen Lee's Summit MO.","REVEAL","Independent electrical products wholesaler since 1971; multiple locations (Harrisonville, Grain Valley, Pleasant Valley)."
"88","Teague Lumber Co","Kansas City","Missouri","1","Construction","http://www.teaguelumber.net","Construction","Lumber/Building Materials","OPEN","Website active; founded 2002; acquired by Mead Lumber in 2022 but continues as Teague Lumber; 6804 Saint John Ave KC MO.","REVEAL","Four KC area locations; full-service lumber yard since 2002; continues operation post-Mead acquisition."
"89","Sword Construction","Kansas City","Missouri","1","Construction","http://www.swordconstruction.com","Construction","General Contracting","OPEN","Buzzfile and merchant listings show active operations; 8109 Manning Ave KC MO 64138; 41-year history.","REVEAL","Commercial general contractor; retail construction specialist; 41 years in business."
"90","Core Electric","Kansas City","Kansas","1","Construction","http://www.coreelectrickc.com","Construction","Electrical Contractor","OPEN","BBB profile active; Procore listing verified; 3050 S 44th St KC KS 66106; commercial and residential.","REVEAL","Electrical contractor with 24-hour service; design-build capability; EV charging specialization."
"91","Dahmer Contracting Group","Overland Park","Kansas","1","Construction","http://www.dahmerco.com","Construction","General Contracting","OPEN","Dun & Bradstreet and ZoomInfo profiles active; 8375 Nieman Rd Overland Park KS 66214; multi-generational family business.","REVEAL","Established family business (3rd generation); structural framing/drywall/carpentry specialist."
"92","Town & Country Heating and Cooling","Lenexa","Kansas","1","Construction","http://www.townandcountrypros.com","Construction","HVAC Services","OPEN","Yelp updated March 2026; BBB profile active; 10674 Widmer Rd Lenexa KS 66215; 36+ years experience.","REVEAL","HVAC specialist since 1971; Lennox dealer; same-day emergency services available."
"93","Truman Heritage Habitat for Humanity","Independence","Missouri","1","Construction","http://www.trumanhabitat.org","Construction","Nonprofit Housing","OPEN","Website active; 505 North Dodgion Independence MO 64050; recent Form 990 filing; three ReStore locations operational.","MANUAL CHECK","Faith-based nonprofit — Habitat affiliates build with donated labor and materials; limited standard commercial insurance profile. Verify before revealing."
"94","Don Julian Builders","Overland Park","Kansas","1","Construction","http://www.donjulianbuilders.com","Construction","Home Builder","OPEN","Website shows active operations; multiple Overland Park communities (Wilshire Hills, Villas of Avalon); 50+ year track record.","REVEAL","Founded 1974; 2,000+ homes built; $1B+ in sales; multiple active communities in Overland Park."
"95","Diamond Contractors Inc","Lee's Summit","Missouri","1","Construction","http://www.diamondcontractors.com","Construction","General Contracting","OPEN","BBB and D&B profiles active; Yelp updated February 2026; 4224 NE Port Dr Lee's Summit MO 64064; family-owned since 1994.","REVEAL","Family-owned since 1994; 51-200 employees; WBE certified; licensed in 44 states; major retail rollout experience."
