priority,overall_score,tier,company,city,state,segment,apollo_emp,est_actual_staff,revenue,num_locations,est_premium,likely_asian,in_kc_metro,prem_score,fit_score,acc_score,under_score,website,phone,notes
HIGH,4.5,Tier 1 — Big Bet,Jonkman Construction,North Kansas City,Missouri,Construction,13,32,16241000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.jonkmanconstruction.com,'+1 816-221-4741,Subtype: gc_with_subs; KC metro; Revenue $16.2M
HIGH,4.5,Tier 1 — Big Bet,R. L. YATES ELECTRIC CONSTRUCTION COMPANY,North Kansas City,Missouri,Construction,8,20,20019000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.yateselectric.com,'+1 816-421-8343,Subtype: gc_with_subs; KC metro; Revenue $20.0M
HIGH,4.5,Tier 1 — Big Bet,Blue Heating and Cooling,Parkville,Missouri,Construction,6,10,9778000.0,2.0,$20K-$40K,False,True,5,4.0,5,3.5,http://www.blueheatingandcooling.com,'+1 816-719-1099,Subtype: artisan_trade; KC metro; 2 locations
HIGH,4.5,Tier 1 — Big Bet,"Nations Auto Transport, LLC",Kansas City,Missouri,Transport/Logistics,10,12,11275000.0,1.0,$40K-$80K+,False,True,5,4.0,5,3.5,http://www.shipnat.com,'+1 877-331-3100,Subtype: fleet_and_warehouse; KC metro; Revenue $11.3M
HIGH,4.5,Tier 1 — Big Bet,Olinger Heavy Hauling,Kansas City,Missouri,Transport/Logistics,11,13,13303000.0,,$40K-$80K+,False,True,5,4.0,5,3.5,http://www.olingerheavyhauling.com,'+1 816-231-4922,Subtype: fleet_and_warehouse; KC metro; Revenue $13.3M
HIGH,4.5,Tier 1 — Big Bet,Paramount Flooring,Raymore,Missouri,Construction,15,26,,,$20K-$40K,False,True,5,4.0,5,3.5,http://www.paramountfloorkc.com,'+1 816-564-2738,Subtype: artisan_trade; KC metro
HIGH,4.5,Tier 1 — Big Bet,Lambie Homes,Overland Park,Kansas,Construction,10,25,34600000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.lambiehomes.com,'+1 913-897-0040,Subtype: gc_with_subs; KC metro; Revenue $34.6M
HIGH,4.5,Tier 1 — Big Bet,Neal Group Construction LLC,Joplin,Missouri,Construction,3,7,32114000.0,,$30K-$80K+,False,False,5,3.5,5,4.0,http://www.nealgroupconstruction.com,'+1 417-206-4910,Subtype: gc_with_subs; Revenue $32.1M
HIGH,4.5,Tier 1 — Big Bet,Wichita Area Builders Association,Wichita,Kansas,Construction,3,7,18099000.0,,$30K-$80K+,False,False,5,3.5,5,4.0,http://www.wabahome.com,'+1 316-265-4226,Subtype: gc_with_subs; Revenue $18.1M
HIGH,4.5,Tier 1 — Big Bet,"Evans Building Company, Inc.",Blue Springs,Missouri,Construction,8,20,13553000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.evansbldg.com,'+1 316-524-0103,Subtype: gc_with_subs; KC metro; Revenue $13.6M
HIGH,4.5,Tier 1 — Big Bet,Wineteer Construction,Kansas City,Missouri,Construction,6,15,5710000.0,,$30K-$80K+,False,True,5,4.0,5,3.5,http://www.wineteerconstruction.com,'+1 913-717-6325,Subtype: gc_with_subs; KC metro
HIGH,4.4,Tier 1 — Big Bet,Lumix,Fulton,Missouri,Construction,13,32,32609000.0,,$30K-$80K+,False,False,5,3.5,5,3.5,http://www.lumixelectrical.com,'+1 573-642-7960,Subtype: gc_with_subs; Revenue $32.6M
HIGH,4.4,Tier 1 — Big Bet,Midwest Lumber,Harrisonville,Missouri,Construction,28,70,,,$25K-$60K,False,True,5,4.0,5,3.0,http://www.midwestlumber.com,'+1 660-679-3137,Subtype: gc_with_subs; KC metro
HIGH,4.4,Tier 1 — Big Bet,Miller Stauch Construction,Kansas City,Kansas,Construction,28,70,6543000.0,,$30K-$80K+,False,True,5,4.0,5,3.0,http://www.millerstauch.com,'+1 913-599-1040,Subtype: gc_with_subs; KC metro
HIGH,4.4,Tier 1 — Big Bet,Millig Design Build,Olathe,Kansas,Construction,32,80,,,$25K-$60K,False,True,5,4.0,5,3.0,http://www.milligdb.com,'+1 913-214-2680,Subtype: gc_with_subs; KC metro
HIGH,4.4,Tier 1 — Big Bet,Millman Lumber Company,St. Louis,Missouri,Construction,14,24,392000000.0,,$20K-$40K,False,False,5,3.5,5,3.5,http://www.millmanlumber.com,'+1 314-968-1700,Subtype: artisan_trade; Revenue $392.0M
HIGH,4.4,Tier 1 — Big Bet,Superior Moving Service Inc.,Kansas City,Missouri,Transport/Logistics,48,60,20217000.0,1.0,$40K-$80K+,False,True,5,4.0,5,3.0,http://www.superiormoving.com,'+1 816-471-1662,Subtype: fleet_and_warehouse; KC metro; Revenue $20.2M
HIGH,4.4,Tier 1 — Big Bet,ADELPHI CONSTRUCTION LC,Mission,Kansas,Construction,37,92,,,$25K-$60K,False,True,5,4.0,5,3.0,http://www.adelphiconstructionlc.com,'+1 800-334-7431,Subtype: gc_with_subs; KC metro
HIGH,4.4,Tier 1 — Big Bet,"A.J. Brown, Inc.",Chesterfield,Missouri,Construction,15,37,31097000.0,,$30K-$80K+,False,False,5,3.5,5,3.5,http://www.ajbrown.com,'+1 636-537-3636,Subtype: gc_with_subs; Revenue $31.1M
HIGH,4.4,Tier 1 — Big Bet,"XEC, Inc.",Lenexa,Kansas,Construction,32,80,18685000.0,,$30K-$80K+,False,True,5,4.0,5,3.0,http://www.xeccinc.com,'+1 913-563-4260,Subtype: gc_with_subs; KC metro; Revenue $18.7M
HIGH,4.4,Tier 1 — Big Bet,"FATBOY ELECTRIC, INC",Kansas City,Missouri,Construction,23,57,1670000.0,,$25K-$60K,False,True,5,4.0,5,3.0,http://www.fatboyelectric.com,'+1 816-861-6600,Subtype: gc_with_subs; KC metro
HIGH,4.4,Tier 1 — Big Bet,"F, J. MURPHY & SON, INC.",Springfield,Missouri,Construction,15,37,10547000.0,,$30K-$80K+,False,False,5,3.5,5,3.5,http://www.fjmurphy.com,'+1 217-528-4081,Subtype: gc_with_subs; Revenue $10.5M
HIGH,4.4,Tier 1 — Big Bet,"Environmental Mechanical Contractors, Inc.",Olathe,Kansas,Construction,23,57,19090000.0,,$30K-$80K+,False,True,5,4.0,5,3.0,http://www.emc-kc.com,'+1 913-829-0100,Subtype: gc_with_subs; KC metro; Revenue $19.1M
HIGH,4.4,Tier 1 — Big Bet,Wholesale Siding Depot,Saint Louis,Missouri,Construction,12,21,26429000.0,,$20K-$40K,False,False,5,3.5,5,3.5,http://www.wsdepot.com,'+1 314-966-9988,Subtype: artisan_trade; Revenue $26.4M
HIGH,4.4,Tier 1 — Big Bet,MJ Products Company,Fenton,Missouri,Construction,15,37,22745000.0,,$30K-$80K+,False,False,5,3.5,5,3.5,http://www.mjproductsco.com,'+1 636-349-0290,Subtype: gc_with_subs; Revenue $22.7M
HIGH,4.4,Tier 1 — Big Bet,M&S Electric KC,Blue Springs,Missouri,Construction,22,55,,,$25K-$60K,False,True,5,4.0,5,3.0,http://www.mandselectric.net,'+1 816-427-5913,Subtype: gc_with_subs; KC metro
HIGH,4.4,Tier 1 — Big Bet,Your Express Solutions,Kansas City,Missouri,Transport/Logistics,24,30,,,$40K-$80K+,False,True,5,4.0,5,3.0,http://www.yourexpresssolutions.com,'+1 913-915-4016,Subtype: fleet_and_warehouse; KC metro
HIGH,4.4,Tier 1 — Big Bet,"West Central Motor Freight, Inc.",Springfield,Missouri,Transport/Logistics,12,15,14123000.0,,$40K-$80K+,False,False,5,3.5,5,3.5,http://www.wcmfinc.com,'+1 417-881-7010,Subtype: fleet_and_warehouse; Revenue $14.1M
HIGH,4.4,Tier 1 — Big Bet,"ALL PRO Electrical Technology, Inc.",Warrensburg,Missouri,Construction,19,33,33066000.0,,$20K-$40K,False,True,5,4.0,5,3.0,http://www.allproelectrical.com,'+1 660-747-0090,Subtype: artisan_trade; KC metro; Revenue $33.1M
HIGH,4.4,Tier 1 — Big Bet,ALH Home Renovations,Roeland Park,Kansas,Construction,10,25,12942000.0,,$30K-$80K+,False,False,5,3.5,5,3.5,http://www.alhhomerenovations.com,'+1 913-384-0030,Subtype: gc_with_subs; Revenue $12.9M
HIGH,4.4,Tier 1 — Big Bet,North Kansas City Electric,Kansas City,Missouri,Construction,17,29,15496000.0,,$20K-$40K,False,True,5,4.0,5,3.0,http://www.nkce.com,'+1 816-421-2352,Subtype: artisan_trade; KC metro; Revenue $15.5M
HIGH,4.4,Tier 1 — Big Bet,Newkirk Novak Construction Partners,Lenexa,Kansas,Construction,48,120,,,$25K-$60K,False,True,5,4.0,5,3.0,http://www.newkirknovak.com,'+1 913-312-9535,Subtype: gc_with_subs; KC metro
HIGH,4.4,Tier 1 — Big Bet,"Neighbors Construction Company, Inc.",Olathe,Kansas,Construction,36,90,29903000.0,,$30K-$80K+,False,True,5,4.0,5,3.0,http://www.neighborsconstruction.com,'+1 913-422-5555,Subtype: gc_with_subs; KC metro; Revenue $29.9M
HIGH,4.4,Tier 1 — Big Bet,"National Retail Flooring Services, Inc.",St. Peters,Missouri,Construction,8,14,17043000.0,,$20K-$40K,False,False,5,3.5,5,3.5,http://www.nrfsinc.com,'+1 636-922-0200,Subtype: artisan_trade; Revenue $17.0M
HIGH,4.4,Tier 1 — Big Bet,Lawson Brothers Floor Company,St. Louis,Missouri,Construction,7,17,16711000.0,,$30K-$80K+,False,False,5,3.5,5,3.5,http://www.lawsonbrothersfloor.com,'+1 314-371-4400,Subtype: gc_with_subs; Revenue $16.7M
HIGH,4.4,Tier 1 — Big Bet,LMG Construction,Kansas City,Missouri,Construction,34,85,,,$25K-$60K,False,True,5,4.0,5,3.0,http://www.lmgbuilds.com,'+1 816-474-0333,Subtype: gc_with_subs; KC metro
HIGH,4.4,Tier 1 — Big Bet,Monarch Build,Overland Park,Kansas,Construction,40,100,,,$25K-$60K,False,True,5,4.0,5,3.0,http://www.monarch.build,'+1 913-942-2400,Subtype: gc_with_subs; KC metro
HIGH,4.4,Tier 1 — Big Bet,Liberty Home Solutions,Springfield,Missouri,Construction,6,10,15776000.0,1.0,$20K-$40K,False,False,5,3.5,5,3.5,http://www.libertyhomesolutions.com,'+1 417-889-3218,Subtype: artisan_trade; Revenue $15.8M
HIGH,4.4,Tier 1 — Big Bet,Pacific Mutual Door,Kansas City,Missouri,Construction,27,67,50302000.0,,$30K-$80K+,False,True,5,4.0,5,3.0,http://www.pacificmutualdoor.com,'+1 505-823-2505,Subtype: gc_with_subs; KC metro; Revenue $50.3M
HIGH,4.4,Tier 1 — Big Bet,"PM Contracting, Inc.",Grandview,Missouri,Construction,39,97,15482000.0,,$30K-$80K+,False,True,5,4.0,5,3.0,http://www.pmcontractinginc.com,'+1 816-318-9844,Subtype: gc_with_subs; KC metro; Revenue $15.5M
HIGH,4.4,Tier 1 — Big Bet,Nationwide Equipment Transportation Inc.,Merriam,Kansas,Transport/Logistics,24,30,57272000.0,,$40K-$80K+,False,True,5,4.0,5,3.0,http://www.nationwidetrans.com,'+1 866-922-8855,Subtype: fleet_and_warehouse; KC metro; Revenue $57.3M
HIGH,4.4,Tier 1 — Big Bet,Idle Smart,Kansas City,Kansas,Transport/Logistics,28,35,2333000.0,,$40K-$80K+,False,True,5,4.0,5,3.0,http://www.idlesmart.com,'+1 913-744-4353,Subtype: fleet_and_warehouse; KC metro
HIGH,4.4,Tier 1 — Big Bet,GEM Transportation,Hazelwood,Missouri,Transport/Logistics,13,16,15215000.0,,$40K-$80K+,False,False,5,3.5,5,3.5,http://www.gemtransportation.com,'+1 314-731-1707,Subtype: fleet_and_warehouse; Revenue $15.2M
HIGH,4.4,Tier 1 — Big Bet,"FreightSnap, LLC",Lenexa,Kansas,Transport/Logistics,23,28,4608000.0,,$40K-$80K+,False,True,5,4.0,5,3.0,http://www.freightsnap.com,'+1 913-213-5662,Subtype: fleet_and_warehouse; KC metro
HIGH,4.4,Tier 1 — Big Bet,FLI Transportation and Logistics,Overland Park,Kansas,Transport/Logistics,50,62,,,$40K-$80K+,False,True,5,4.0,5,3.0,http://www.fliinc.net,'+1 913-851-2247,Subtype: fleet_and_warehouse; KC metro
HIGH,4.4,Tier 1 — Big Bet,Rand Construction Company,Kansas City,Missouri,Construction,47,117,12581000.0,,$30K-$80K+,False,True,5,4.0,5,3.0,http://www.randsc.com,'+1 816-421-4143,Subtype: gc_with_subs; KC metro; Revenue $12.6M
HIGH,4.4,Tier 1 — Big Bet,"Jericho Home Improvements, LLC",Kansas City,Kansas,Construction,40,70,,1.0,$20K-$40K,False,True,5,4.0,5,3.0,http://www.homeimprovementskansascity.com,'+1 913-596-0000,Subtype: artisan_trade; KC metro
HIGH,4.4,Tier 1 — Big Bet,"MaRRS Distribution, LLC",Wildwood,Missouri,Transport/Logistics,9,11,28526000.0,,$40K-$80K+,False,False,5,3.5,5,3.5,http://www.marrsdistribution.com,'+1 636-536-6800,Subtype: fleet_and_warehouse; Revenue $28.5M
HIGH,4.4,Tier 1 — Big Bet,Benchmark Custom Home Builders Inc,St. Louis,Missouri,Construction,6,15,11516000.0,,$30K-$80K+,False,False,5,3.5,5,3.5,http://www.benchmarkhomesstl.com,'+1 314-909-7593,Subtype: gc_with_subs; Revenue $11.5M
HIGH,4.4,Tier 1 — Big Bet,"M&J Transportation, Inc.",Kansas City,Missouri,Transport/Logistics,28,35,,,$40K-$80K+,False,True,5,4.0,5,3.0,http://www.mjtransportationkc.com,'+1 816-231-6733,Subtype: fleet_and_warehouse; KC metro
